Epoch,Loss,Top1 Acc,Top5 Acc,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc
149,0.005461082269080255,0.9981041666666667,1.0,0.662,0.5745,0.6455,0.61,0.559,0.621
150,0.006671171562006824,0.9977083333333333,1.0,0.656,0.536,0.673,0.579,0.581,0.6705
151,0.007686442596385822,0.9974375,1.0,0.6925,0.58,0.6395,0.5225,0.492,0.7145
152,0.005882979631263424,0.9980208333333334,1.0,0.6815,0.4985,0.624,0.5735,0.565,0.7165
153,0.006684931857362737,0.9978333333333333,1.0,0.659,0.5135,0.6345,0.6195,0.629,0.6035
154,0.005977273623764063,0.9980208333333334,1.0,0.664,0.528,0.655,0.558,0.6075,0.6635
155,0.005612149862355522,0.9979166666666667,1.0,0.7225,0.5565,0.6205,0.569,0.551,0.6935
156,0.005147106206816412,0.9982708333333333,1.0,0.639,0.513,0.669,0.614,0.607,0.6525
157,0.0055295775744073124,0.9981666666666666,1.0,0.6875,0.5095,0.668,0.5985,0.5655,0.6465
158,0.008398195543039038,0.9975416666666667,1.0,0.6895,0.568,0.6275,0.592,0.569,0.619
159,0.005999537377307471,0.9980208333333334,1.0,0.6505,0.551,0.654,0.5965,0.618,0.6555
160,0.005525136185494981,0.9980833333333333,1.0,0.699,0.563,0.65,0.6235,0.538,0.643
161,0.004379544572643407,0.9987291666666667,1.0,0.632,0.499,0.6675,0.6435,0.5575,0.6755
162,0.006292863407654522,0.998,1.0,0.6185,0.5395,0.6655,0.5565,0.65,0.603
163,0.00786884457887201,0.9975416666666667,1.0,0.697,0.482,0.6285,0.6405,0.571,0.66
164,0.005831872607602321,0.998125,1.0,0.7545,0.524,0.65,0.603,0.5445,0.652
165,0.006168531648097162,0.9980416666666667,1.0,0.678,0.4985,0.6415,0.568,0.5145,0.762
166,0.005841882904597318,0.9980208333333334,1.0,0.656,0.427,0.656,0.599,0.57,0.732
167,0.004327368996898978,0.9985625,1.0,0.709,0.5525,0.67,0.571,0.5365,0.6875
168,0.005926443470312961,0.9980833333333333,1.0,0.624,0.519,0.6635,0.629,0.6135,0.624
169,0.007269489738264421,0.9975625,1.0,0.6415,0.518,0.738,0.523,0.601,0.662
170,0.005708190550253183,0.9978958333333333,1.0,0.69,0.522,0.694,0.583,0.583,0.6465
171,0.005185853268232677,0.9982291666666666,1.0,0.6785,0.525,0.6295,0.58,0.5805,0.649
172,0.005279857124094671,0.9983333333333333,1.0,0.703,0.551,0.6445,0.641,0.527,0.627
173,0.004841082400389117,0.9985,1.0,0.688,0.513,0.612,0.623,0.494,0.7325
174,0.00757034165281785,0.99775,1.0,0.625,0.5285,0.674,0.6145,0.5725,0.638
175,0.005904498308015415,0.9981875,1.0,0.6355,0.539,0.659,0.579,0.6035,0.658
176,0.005405135139569325,0.9983958333333334,1.0,0.7535,0.5375,0.639,0.6075,0.435,0.7255
177,0.004710937281669772,0.9983958333333334,1.0,0.6865,0.584,0.6715,0.5585,0.573,0.593
178,0.005567861221455246,0.998,1.0,0.678,0.5325,0.6635,0.596,0.523,0.6875
179,0.0058176004194736685,0.9980833333333333,1.0,0.656,0.5095,0.6115,0.5615,0.603,0.7355
180,0.006511215513325396,0.997875,1.0,0.661,0.4555,0.718,0.608,0.5355,0.683
181,0.00467789641823371,0.9985,1.0,0.6895,0.517,0.661,0.5605,0.5485,0.653
182,0.003976032077623605,0.9985833333333334,1.0,0.6545,0.5725,0.624,0.581,0.5435,0.6665
183,0.005483554208989404,0.9980208333333334,1.0,0.6935,0.542,0.6425,0.579,0.534,0.6975
184,0.005563335849934229,0.9980208333333334,1.0,0.552,0.51,0.697,0.6305,0.5905,0.629
185,0.003295546840640384,0.9988541666666667,1.0,0.7035,0.4955,0.66,0.626,0.539,0.674
186,0.008534702047185306,0.9972291666666667,1.0,0.6785,0.518,0.666,0.6155,0.5545,0.65
187,0.00423505524543045,0.9985,1.0,0.712,0.5325,0.672,0.564,0.58,0.622
188,0.0041008814380437,0.9985833333333334,1.0,0.6775,0.4525,0.691,0.654,0.5495,0.6065
189,0.005166529012948303,0.9980625,1.0,0.654,0.5325,0.6615,0.645,0.5795,0.653
190,0.0057204380188069495,0.9980208333333334,1.0,0.741,0.5555,0.633,0.5915,0.525,0.625
191,0.005370495060194268,0.9984166666666666,1.0,0.6745,0.527,0.6865,0.605,0.4955,0.7075
192,0.00533695418473034,0.9981875,1.0,0.7025,0.529,0.6965,0.5745,0.5005,0.7205
193,0.004927148699146983,0.9982916666666667,1.0,0.658,0.5255,0.658,0.597,0.5465,0.7355
194,0.0050585431309021186,0.9984791666666667,1.0,0.655,0.5615,0.634,0.584,0.605,0.6415
195,0.0038865965246210597,0.9986458333333333,1.0,0.697,0.593,0.6525,0.5265,0.561,0.627
196,0.0047132941407477535,0.9982291666666666,1.0,0.6655,0.561,0.6085,0.5655,0.6145,0.6545
197,0.0048153062341389444,0.9982708333333333,1.0,0.712,0.5425,0.673,0.549,0.572,0.652
198,0.005026657619368999,0.9982916666666667,1.0,0.6735,0.5655,0.6465,0.573,0.5255,0.684
199,0.004551751889846618,0.9985,1.0,0.7125,0.5005,0.6285,0.647,0.49,0.684
200,0.0059191031811804086,0.997875,1.0,0.71,0.5595,0.632,0.6025,0.5095,0.6985
201,0.002852077572913686,0.9991666666666666,1.0,0.631,0.5825,0.632,0.655,0.5365,0.623
202,0.005299580860079345,0.9982291666666666,1.0,0.7195,0.56,0.643,0.5425,0.5745,0.689
203,0.005678619300775703,0.9981458333333333,1.0,0.685,0.531,0.6855,0.597,0.559,0.6445
204,0.00524138214933015,0.99825,1.0,0.7135,0.54,0.6675,0.547,0.536,0.693
205,0.004674973235449348,0.9984791666666667,1.0,0.6955,0.5265,0.559,0.647,0.5415,0.6415
206,0.003326833057083377,0.9988958333333333,1.0,0.649,0.4975,0.648,0.596,0.6265,0.6435
207,0.004355149623109678,0.9983125,1.0,0.705,0.519,0.652,0.612,0.57,0.6435
208,0.0053484474097178535,0.9982708333333333,1.0,0.695,0.5015,0.638,0.5485,0.611,0.639
209,0.0042291572253524805,0.9985625,1.0,0.653,0.531,0.6675,0.5935,0.5665,0.69
210,0.004864526384182871,0.9983958333333334,1.0,0.676,0.572,0.6565,0.591,0.5515,0.6105
211,0.004103654050178634,0.9986875,1.0,0.684,0.5305,0.626,0.6265,0.5605,0.6655
212,0.004366344201988217,0.998625,1.0,0.6645,0.4865,0.704,0.627,0.571,0.6605
213,0.005287836616868968,0.9981875,1.0,0.6965,0.4825,0.6975,0.603,0.5555,0.675
214,0.004932120003374088,0.9986458333333333,1.0,0.716,0.564,0.655,0.5745,0.5145,0.6785
215,0.0033894183071293115,0.9989375,1.0,0.7295,0.505,0.65,0.5805,0.5065,0.716
216,0.0049597127340833495,0.9984583333333333,1.0,0.6765,0.4585,0.6565,0.635,0.536,0.7015
217,0.006461866288254382,0.998125,1.0,0.7195,0.525,0.6105,0.605,0.5245,0.6895
218,0.003922979810630693,0.9986875,1.0,0.781,0.5505,0.6305,0.529,0.5215,0.6705
219,0.0030213030495921393,0.9990416666666667,1.0,0.679,0.564,0.6575,0.601,0.476,0.652
220,0.006616397424310321,0.9976875,1.0,0.687,0.489,0.644,0.619,0.5235,0.7005
221,0.00316112447329211,0.9990208333333334,1.0,0.6815,0.5215,0.662,0.595,0.5525,0.6355
222,0.005047884994879918,0.9982708333333333,1.0,0.67,0.504,0.6465,0.5665,0.56,0.701
223,0.0032474346366100047,0.998875,1.0,0.6655,0.5965,0.6615,0.572,0.564,0.545
224,0.003664508559807274,0.9989166666666667,1.0,0.684,0.5385,0.5935,0.553,0.6315,0.6775
225,0.0033680747448145212,0.999,1.0,0.6715,0.5295,0.6585,0.562,0.5775,0.68
226,0.005208703945329593,0.9984791666666667,1.0,0.698,0.588,0.579,0.583,0.538,0.6775
227,0.0038919886072632816,0.9986666666666667,1.0,0.6485,0.527,0.666,0.619,0.527,0.694
228,0.0030923906934109103,0.999,1.0,0.759,0.633,0.5405,0.5355,0.494,0.663
229,0.006116440135046522,0.997875,1.0,0.697,0.511,0.6315,0.601,0.56,0.689
230,0.00415164932055896,0.9986041666666666,1.0,0.721,0.6075,0.5835,0.6035,0.5615,0.634
231,0.005042364155682497,0.9983541666666667,1.0,0.6645,0.496,0.619,0.5445,0.623,0.7195
232,0.004388463040318669,0.998625,1.0,0.6505,0.474,0.643,0.637,0.5665,0.663
233,0.003111363492739642,0.999,1.0,0.691,0.526,0.6255,0.618,0.5295,0.639
234,0.005805471606493408,0.9982916666666667,1.0,0.555,0.5945,0.6005,0.6235,0.5585,0.675
235,0.004178352702660054,0.9987708333333334,1.0,0.661,0.5305,0.683,0.598,0.5575,0.6665
236,0.004969400987058066,0.9981666666666666,1.0,0.62,0.5645,0.6445,0.596,0.569,0.6935
237,0.004670834115032681,0.9985833333333334,1.0,0.6425,0.539,0.6445,0.583,0.582,0.673
238,0.00410199988946664,0.9985833333333334,1.0,0.6895,0.5375,0.6465,0.6125,0.483,0.699
239,0.003490398932813523,0.9989166666666667,1.0,0.731,0.518,0.682,0.58,0.5495,0.6045
240,0.0039076157075267305,0.9984791666666667,1.0,0.729,0.5595,0.6765,0.5195,0.574,0.603
241,0.003900381768871076,0.9989583333333333,1.0,0.6975,0.539,0.64,0.615,0.5175,0.665
242,0.004629365990521161,0.9984791666666667,1.0,0.7055,0.5495,0.6085,0.585,0.5435,0.6905
243,0.002243777594956266,0.99925,1.0,0.6785,0.507,0.6695,0.5665,0.5695,0.6895
244,0.00531870677328152,0.9982083333333334,1.0,0.735,0.5005,0.6325,0.559,0.519,0.7235
245,0.004455944062785932,0.9984375,1.0,0.723,0.505,0.6285,0.5845,0.606,0.616
246,0.003005086974769123,0.9989791666666666,1.0,0.667,0.4695,0.6755,0.607,0.591,0.6925
247,0.004012248022343213,0.9985833333333334,1.0,0.6755,0.5325,0.7075,0.597,0.487,0.6365
248,0.005961606247445417,0.9979375,1.0,0.628,0.552,0.6135,0.6275,0.5875,0.621
249,0.0033305142330763288,0.9987291666666667,1.0,0.6595,0.478,0.7035,0.6,0.544,0.6615
250,0.0021819393565981264,0.999375,1.0,0.636,0.426,0.67,0.593,0.6215,0.6625
251,0.004774103029202261,0.9984583333333333,1.0,0.5975,0.4995,0.6405,0.639,0.5595,0.7145
252,0.0060165207948386645,0.99825,1.0,0.633,0.4895,0.7115,0.5915,0.608,0.6065
253,0.004430880618609833,0.9984791666666667,1.0,0.632,0.4885,0.6615,0.5905,0.588,0.6965
254,0.004030858520296343,0.9988541666666667,1.0,0.69,0.4785,0.694,0.596,0.568,0.6475
255,0.002365951553691862,0.9991666666666666,1.0,0.7615,0.5385,0.627,0.622,0.506,0.5785
256,0.003707713495088304,0.9986666666666667,1.0,0.7135,0.5085,0.651,0.556,0.5765,0.6695
257,0.003901914189202093,0.9985625,1.0,0.6655,0.474,0.6925,0.618,0.5305,0.6845
258,0.004190249657915804,0.9988333333333334,1.0,0.693,0.5635,0.59,0.5925,0.572,0.649
259,0.0025436833622685716,0.9991875,1.0,0.7125,0.5405,0.622,0.577,0.53,0.6805
260,0.003624523172640295,0.9987916666666666,1.0,0.6555,0.444,0.694,0.6355,0.4895,0.6935
261,0.0047529755798041105,0.9982916666666667,1.0,0.668,0.5225,0.625,0.584,0.5555,0.7205
262,0.003973095132425196,0.9988333333333334,1.0,0.631,0.5,0.672,0.584,0.5975,0.6525
263,0.0032810427086021787,0.998875,1.0,0.7175,0.5265,0.64,0.583,0.552,0.703
264,0.0032060649685664586,0.9987916666666666,1.0,0.641,0.605,0.643,0.5835,0.5565,0.6045
265,0.004122167811117251,0.9986458333333333,1.0,0.6475,0.5415,0.6245,0.6355,0.537,0.655
266,0.0030368493138344375,0.9990833333333333,1.0,0.6575,0.4955,0.644,0.618,0.579,0.6885
267,0.004552604402297045,0.9983958333333334,1.0,0.6455,0.5745,0.6395,0.6545,0.52,0.632
268,0.004052655778088976,0.9987291666666667,1.0,0.681,0.473,0.686,0.613,0.527,0.675
269,0.0034095229439536066,0.9989166666666667,1.0,0.7175,0.525,0.6585,0.61,0.527,0.637
270,0.004496878692078591,0.9984583333333333,1.0,0.6785,0.477,0.6935,0.6305,0.5205,0.62
271,0.00435438521835808,0.9984375,1.0,0.686,0.59,0.6515,0.5665,0.5445,0.5885
272,0.0024464120666483685,0.999375,1.0,0.7175,0.541,0.641,0.5595,0.5625,0.661
273,0.0037682569155476813,0.9987291666666667,1.0,0.677,0.5305,0.6665,0.5675,0.599,0.6635
274,0.00219338861802916,0.999375,1.0,0.6805,0.4765,0.67,0.6015,0.5405,0.7155
275,0.0046324854520323625,0.9982708333333333,1.0,0.7175,0.532,0.6295,0.568,0.5615,0.695
276,0.0040964741300535765,0.9987916666666666,1.0,0.702,0.5465,0.654,0.605,0.52,0.671
277,0.00260090518587161,0.9994166666666666,1.0,0.714,0.5755,0.629,0.5565,0.531,0.6665
278,0.0042736568860652566,0.9985625,1.0,0.649,0.5145,0.653,0.612,0.4895,0.723
279,0.005065600279630435,0.9984583333333333,1.0,0.673,0.5405,0.6815,0.5995,0.562,0.606
280,0.0029471244803483503,0.999,1.0,0.6475,0.508,0.6885,0.612,0.524,0.674
281,0.003463384724391536,0.9988125,1.0,0.66,0.5105,0.624,0.6145,0.5885,0.6565
282,0.004415872014298889,0.998625,1.0,0.6735,0.5735,0.627,0.58,0.511,0.699
283,0.002206943304660404,0.9992291666666666,1.0,0.719,0.505,0.631,0.6065,0.474,0.7115
284,0.004273380322024811,0.9985625,1.0,0.6495,0.555,0.666,0.5915,0.5795,0.613
285,0.0038332393349899668,0.9986041666666666,1.0,0.688,0.5375,0.661,0.5965,0.5555,0.652
286,0.0035973707285907276,0.9988541666666667,1.0,0.6515,0.608,0.6235,0.5935,0.5575,0.6255
287,0.0033104196740446953,0.9989791666666666,1.0,0.7275,0.533,0.6235,0.572,0.536,0.6765
288,0.003779797682298792,0.9988333333333334,1.0,0.6915,0.462,0.664,0.6045,0.5995,0.649
289,0.002045234876775429,0.9992708333333333,1.0,0.6805,0.5335,0.664,0.5835,0.5625,0.629
290,0.0037340136205247843,0.9986875,1.0,0.702,0.5025,0.643,0.529,0.573,0.693
291,0.003574982272729737,0.99875,1.0,0.7015,0.532,0.6315,0.5305,0.5825,0.6905
292,0.0031033112558963736,0.9988125,1.0,0.711,0.481,0.633,0.5915,0.5715,0.694
293,0.003798446661446649,0.9991666666666666,1.0,0.665,0.598,0.6405,0.5825,0.574,0.6255
294,0.004113956213108262,0.9988958333333333,1.0,0.702,0.52,0.694,0.565,0.5305,0.6645
295,0.00278070354683346,0.9991666666666666,1.0,0.709,0.5165,0.6275,0.5455,0.5925,0.656
296,0.003112758853905722,0.9990625,1.0,0.7375,0.535,0.629,0.5945,0.5495,0.65
297,0.004416792558183379,0.9987708333333334,1.0,0.6505,0.398,0.7405,0.604,0.571,0.7075
298,0.002582928649329219,0.9991041666666667,1.0,0.639,0.5735,0.594,0.622,0.572,0.6645
299,0.00345966434306839,0.9988125,1.0,0.726,0.4715,0.662,0.5875,0.508,0.706
300,0.0027619329181297657,0.999,1.0,0.668,0.561,0.649,0.493,0.6325,0.6295
